Work Title,Subdivision Title,Line
karma police,verse 1,karma police arrest this man
karma police,verse 1,he talks in maths
karma police,verse 1,he buzzes like a fridge
karma police,verse 1,hes like a detuned radio
karma police,verse 2,karma police arrest this girl
karma police,verse 2,her hitler hairdo is making me feel ill
karma police,verse 2,and we have crashed her party
karma police,chorus,this is what you get
karma police,chorus,this is what you get
karma police,chorus,this is what you get
karma police,chorus,when you mess with us
karma police,verse 3,karma police ive given all i can its not enough
karma police,verse 3,ive given all i can but were still on the payroll
karma police,chorus,this is what you get
karma police,chorus,this is what you get
karma police,chorus,this is what you get
karma police,chorus,when you mess with us
karma police,outro,for a minute there
karma police,outro,i lost myself i lost myself
karma police,outro,phew for a minute there
karma police,outro,i lost myself i lost myself
karma police,outro,for a minute there
karma police,outro,i lost myself i lost myself
karma police,outro,phew for a minute there
karma police,outro,i lost myself i lost myself
